rank,word,total,length
342,together,129820,8
343,follow,129568,6
344,parent,129544,6
345,process,128601,7
346,speak,128408,5
347,hope,128194,4
348,guy,127733,3
349,art,127523,3
350,along,126968,5
351,teacher,126709,7
352,low,126604,3
353,base,126457,4
354,within,126229,6
355,education,126010,9
356,read,125965,4
357,across,125717,6
358,others,125416,6
359,spend,125139,5
360,already,125028,7
361,university,124784,10
362,allow,124739,5
363,party,124709,5
364,history,124707,7
365,morning,124560,7
366,person,123625,6
367,office,123606,6
368,return,122855,6
369,bill,122354,4
370,behind,122256,6
371,girl,121177,4
372,market,120607,6
373,age,119939,3
374,reason,119766,6
375,figure,119759,6
376,moment,119290,6
377,grow,118898,4
378,maybe,118492,5
379,food,118201,4
380,himself,117476,7
381,air,117329,3
382,view,117223,4
383,cost,117205,4
384,test,117103,4
385,yeah,116972,4
386,foot,116870,4
387,policy,116824,6
388,actually,116147,8
389,boy,116082,3
390,deal,116022,4
391,drive,115818,5
392,remember,115601,8
393,although,115282,8
394,step,115030,4
395,late,114896,4
396,wait,114598,4
397,sound,114367,5
398,street,114259,6
399,sense,114244,5
400,toward,114213,6
401,including,113737,9
402,oh,113609,2
403,everything,113213,10
404,able,112076,4
405,pass,111921,4
406,stay,111538,4
407,cause,111268,5
408,court,111117,5
409,music,110990,5
410,consider,110724,8
411,buy,110450,3
412,serve,110296,5
413,note,109761,4
414,rather,109535,6
415,mind,108676,4
416,reach,108484,5
417,college,108278,7
418,record,108067,6
419,appear,107943,6
420,probably,107712,8
421,die,107409,3
422,local,107203,5
423,major,106828,5
424,whole,106769,5
425,official,106757,8
426,bush,106659,4
427,build,106395,5
428,answer,106120,6
429,effect,105951,6
430,rate,105527,4
431,nation,105498,6
432,matter,105449,6
433,send,105353,4
434,present,105319,7
435,individual,104990,10
436,half,104876,4
437,color,104751,5
438,front,104485,5
439,act,104256,3
440,someone,104075,7
441,general,103992,7
442,voice,103954,5
443,interest,103418,8
444,expect,103130,6
445,design,102605,6
446,field,102471,5
447,military,102373,8
448,kill,101659,4
449,death,101428,5
450,free,101409,4
451,price,100874,5
452,cover,100344,5
453,suggest,99993,7
454,development,99812,11
455,clear,99526,5
456,increase,99070,8
457,former,98992,6
458,remain,98934,6
459,class,98873,5
460,six,98285,3
461,south,98084,5
462,hit,97958,3
463,model,97904,5
464,thank,97295,5
465,sign,97278,4
466,future,97027,6
467,pull,97000,4
468,arm,96990,3
469,economic,96894,8
470,photo,96626,5
471,require,96535,7
472,land,96518,4
473,value,96480,5
474,raise,96305,5
475,role,95826,4
476,police,95755,6
477,else,95331,4
478,sell,94605,4
479,leader,93937,6
480,effort,93914,6
481,drug,93564,4
482,season,93497,6
483,tax,93428,3
484,north,93416,5
485,focus,93375,5
486,perhaps,93221,7
487,practice,93032,8
488,outside,92802,7
489,project,92613,7
490,news,92380,4
491,relationship,92198,12
492,fire,91862,4
493,wall,91734,4
494,sometimes,91728,9
495,possible,91694,8
496,themselves,91662,10
497,heart,91598,5
498,according,91344,9
499,share,91265,5
500,develop,90914,7
501,order,90861,5
502,either,90854,6
503,strong,90751,6
504,wife,90697,4
505,decide,90540,6
506,inside,90002,6
507,pick,89869,4
508,easy,89780,4
509,federal,89617,7
510,position,89448,8
511,decision,89426,8
512,difference,89232,10
513,international,88853,13
514,approach,88839,8
515,patient,88735,7
516,finally,88457,7
517,ground,88417,6
518,church,88266,6
519,star,88198,4
520,player,88057,6
521,son,87765,3
522,town,87755,4
523,wear,87690,4
524,road,87528,4
525,full,87504,4
526,join,87385,4
527,explain,87244,7
528,director,87211,8
529,fight,87154,5
530,republican,87152,10
531,society,87095,7
532,receive,86999,7
533,couple,86765,6
534,TRUE,86333,4
